!  transition:                <--             
!
        299610.0000   .8000
        299613.0000   .8000
             *        *
        299620.0000   .8000
        299623.0000   .8000
             *        *
        299630.0000   .8000
        299633.0000   .8000
             *        *
        299640.0000   .8000
!
!  transition:     68, 14, 55 <--   68, 13, 55
!
        299647.6100   .8000
        299647.6100            .7900
        299647.6100   .8000
!
!  transition:   D 68, 14,    <--   68, 13,   
!
        299647.6100   .8000
        299647.6100            .7900
        299647.6100   .8000
!
!  transition:     68, 14, 54 <--   68, 13, 56
!
        299647.6100   .8000
        299647.6100            .7900
        299647.6100   .8000
!
!  transition:     67, 14, 54 <--   67, 13, 54
!
        299694.1193   .8000
        299694.1193            .7900
        299694.1193   .8000
!
!  transition:   D 67, 14,    <--   67, 13,   
!
        299694.1193   .8000
        299694.1193            .7900
        299694.1193   .8000
!
!  transition:     67, 14, 53 <--   67, 13, 55
!
        299694.1193   .8000
        299694.1193            .7900
        299694.1193   .8000
!
!  transition:     66, 14, 53 <--   66, 13, 53
!
        299738.0349   .8000
        299738.0349            .7900
        299738.0349   .8000
!
!  transition:   D 66, 14,    <--   66, 13,   
!
        299738.0349   .8000
        299738.0349            .7900
        299738.0349   .8000
!
!  transition:     66, 14, 52 <--   66, 13, 54
!
        299738.0349   .8000
        299738.0349            .7900
        299738.0349   .8000
!
!  transition:     65, 14, 52 <--   65, 13, 52
!
        299779.4400   .8000
        299779.4400            .7800
        299779.4400   .8000
!
!  transition:   D 65, 14,    <--   65, 13,   
!
        299779.4400   .8000
        299779.4400            .7800
        299779.4400   .8000
!
!  transition:     65, 14, 51 <--   65, 13, 53
!
        299779.4400   .8000
        299779.4400            .7800
        299779.4400   .8000
!
!  transition:     64, 14, 51 <--   64, 13, 51
!
        299818.4163   .8000
        299818.4163            .7900
        299818.4163   .8000
!
!  transition:   D 64, 14,    <--   64, 13,   
!
        299818.4163   .8000
        299818.4163            .7900
        299818.4163   .8000
!
!  transition:     64, 14, 50 <--   64, 13, 52
!
        299818.4163   .8000
        299818.4163            .7900
        299818.4163   .8000
!
!  transition:     63, 14, 50 <--   63, 13, 50
!
        299855.0443   .8000
        299855.0443            .7900
        299855.0443   .8000
!
!  transition:   D 63, 14,    <--   63, 13,   
!
        299855.0443   .8000
        299855.0443            .7900
        299855.0443   .8000
!
!  transition:     63, 14, 49 <--   63, 13, 51
!
        299855.0443   .8000
        299855.0443            .7900
        299855.0443   .8000
!
!  transition:     62, 14, 49 <--   62, 13, 49
!
        299889.4036   .8000
        299889.4036            .7900
        299889.4036   .8000
!
!  transition:   D 62, 14,    <--   62, 13,   
!
        299889.4036   .8000
        299889.4036            .7900
        299889.4036   .8000
!
!  transition:     62, 14, 48 <--   62, 13, 50
!
        299889.4036   .8000
        299889.4036            .7900
        299889.4036   .8000
!
!  transition:     61, 14, 48 <--   61, 13, 48
!
        299921.5722   .8000
        299921.5722            .7900
        299921.5722   .8000
!
!  transition:   D 61, 14,    <--   61, 13,   
!
        299921.5722   .8000
        299921.5722            .7900
        299921.5722   .8000
!
!  transition:     61, 14, 47 <--   61, 13, 49
!
        299921.5722   .8000
        299921.5722            .7900
        299921.5722   .8000
!
!  transition:     60, 14, 47 <--   60, 13, 47
!
        299951.6272   .8000
        299951.6272            .7800
        299951.6272   .8000
!
!  transition:     60, 14, 46 <--   60, 13, 47
!
        299951.6272   .8000
        299951.6272            .7800
        299951.6272   .8000
!
!  transition:     60, 14, 46 <--   60, 13, 48
!
        299951.6272   .8000
        299951.6272            .7800
        299951.6272   .8000
!
!  transition:     60, 14, 47 <--   60, 13, 48
!
        299951.6272   .8000
        299951.6272            .7800
        299951.6272   .8000
!
!  transition:     59, 14, 46 <--   59, 13, 46
!
        299979.6444   .8000
        299979.6444            .7900
        299979.6444   .8000
!
!  transition:   D 59, 14,    <--   59, 13,   
!
        299979.6444   .8000
        299979.6444            .7900
        299979.6444   .8000
!
!  transition:     59, 14, 45 <--   59, 13, 47
!
        299979.6444   .8000
        299979.6444            .7900
        299979.6444   .8000
!
!  transition:     58, 14, 45 <--   58, 13, 45
!
        300005.6986   .8000
        300005.6986            .7900
        300005.6986   .8000
!
!  transition:   D 58, 14,    <--   58, 13,   
!
        300005.6986   .8000
        300005.6986            .7900
        300005.6986   .8000
!
!  transition:     58, 14, 44 <--   58, 13, 46
!
        300005.6986   .8000
        300005.6986            .7900
        300005.6986   .8000
!
!  transition:     57, 14, 44 <--   57, 13, 44
!
        300029.8633   .8000
        300029.8633            .7900
        300029.8633   .8000
!
!  transition:   D 57, 14,    <--   57, 13,   
!
        300029.8633   .8000
        300029.8633            .7900
        300029.8633   .8000
!
!  transition:     57, 14, 43 <--   57, 13, 45
!
        300029.8633   .8000
        300029.8633            .7900
        300029.8633   .8000
!
!  transition:     56, 14, 42 <--   56, 13, 43
!
        300052.2108   .8000
        300052.2108            .7900
        300052.2108   .8000
!
!  transition:     56, 14, 43 <--   56, 13, 43
!
        300052.2108   .8000
        300052.2108            .7900
        300052.2108   .8000
!
!  transition:     56, 14, 42 <--   56, 13, 44
!
        300052.2108   .8000
        300052.2108            .7900
        300052.2108   .8000
!
!  transition:     56, 14, 43 <--   56, 13, 44
!
        300052.2108   .8000
        300052.2108            .7900
        300052.2108   .8000
!
!  transition:     55, 14, 41 <--   55, 13, 42
!
        300072.8124   .8000
        300072.8124            .7800
        300072.8124   .8000
!
!  transition:     55, 14, 42 <--   55, 13, 42
!
        300072.8124   .8000
        300072.8124            .7800
        300072.8124   .8000
!
!  transition:     55, 14, 41 <--   55, 13, 43
!
        300072.8124   .8000
        300072.8124            .7800
        300072.8124   .8000
!
!  transition:     55, 14, 42 <--   55, 13, 43
!
        300072.8124   .8000
        300072.8124            .7800
        300072.8124   .8000
!
!  transition:     54, 14, 40 <--   54, 13, 41
!
        300091.7381   .8000
        300091.7381            .7900
        300091.7381   .8000
!
!  transition:     54, 14, 41 <--   54, 13, 41
!
        300091.7381   .8000
        300091.7381            .7900
        300091.7381   .8000
!
!  transition:     54, 14, 40 <--   54, 13, 42
!
        300091.7381   .8000
        300091.7381            .7900
        300091.7381   .8000
!
!  transition:     54, 14, 41 <--   54, 13, 42
!
        300091.7381   .8000
        300091.7381            .7900
        300091.7381   .8000
!
!  transition:     53, 14, 40 <--   53, 13, 40
!
        300109.0569   .8000
        300109.0569            .7900
        300109.0569   .8000
!
!  transition:   D 53, 14,    <--   53, 13,   
!
        300109.0569   .8000
        300109.0569            .7900
        300109.0569   .8000
!
!  transition:     53, 14, 39 <--   53, 13, 41
!
        300109.0569   .8000
        300109.0569            .7900
        300109.0569   .8000
!
!  transition:     52, 14, 38 <--   52, 13, 39
!
        300124.8366   .8000
        300124.8366            .7900
        300124.8366   .8000
!
!  transition:     52, 14, 39 <--   52, 13, 39
!
        300124.8366   .8000
        300124.8366            .7900
        300124.8366   .8000
!
!  transition:     52, 14, 38 <--   52, 13, 40
!
        300124.8366   .8000
        300124.8366            .7900
        300124.8366   .8000
!
!  transition:     52, 14, 39 <--   52, 13, 40
!
        300124.8366   .8000
        300124.8366            .7900
        300124.8366   .8000
!
!  transition:     51, 14, 38 <--   51, 13, 38
!
        300139.1437   .8000
        300139.1437            .7900
        300139.1437   .8000
!
!  transition:     51, 14, 37 <--   51, 13, 38
!
        300139.1437   .8000
        300139.1437            .7900
        300139.1437   .8000
!
!  transition:     51, 14, 37 <--   51, 13, 39
!
        300139.1437   .8000
        300139.1437            .7900
        300139.1437   .8000
!
!  transition:     51, 14, 38 <--   51, 13, 39
!
        300139.1437   .8000
        300139.1437            .7900
        300139.1437   .8000
!
!  transition:     50, 14, 37 <--   50, 13, 37
!
        300152.0439   .8000
        300152.0439            .7800
        300152.0439   .8000
!
!  transition:   D 50, 14,    <--   50, 13,   
!
        300152.0439   .8000
        300152.0439            .7800
        300152.0439   .8000
!
